scaffold;begin;end;window
0,1;390001;397500;1014
0,1;395001;402500;1015
0,1;400001;407500;1016
0,1;405001;412500;1017
0,1;410001;417500;1018
0,1;415001;422500;1019
0,1;420001;427500;1020
0,1;425001;432500;1021
0,1;430001;437500;1022
0,1;435001;442500;1023
0,1;440001;447500;1024
0,1;445001;452500;1025
0,1;450001;457500;1026
0,1;455001;462500;1027
0,1;460001;467500;1028
0,1;465001;472500;1029
0,1;470001;477500;1030
0,1;475001;482500;1031
0,1;480001;487500;1032
0,1;485001;492500;1033
0,1;490001;497500;1034
0,1;495001;502500;1035
0,1;500001;507500;1036
0,1;505001;512500;1037
0,1;510001;517500;1038
0,1;515001;522500;1039
0,1;520001;527500;1040
0,1;525001;532500;1041
0,1;530001;537500;1042
0,1;535001;542500;1043
0,1;540001;547500;1044
0,1;545001;552500;1045
0,1;550001;557500;1046
0,1;555001;562500;1047
0,1;560001;567500;1048
0,1;565001;572500;1049
0,1;570001;577500;1050
0,1;575001;582500;1051
0,1;580001;587500;1052
0,1;585001;592500;1053
0,1;590001;597500;1054
0,1;595001;602500;1055
0,1;600001;607500;1056
0,1;605001;612500;1057
0,1;610001;617500;1058
0,1;615001;622500;1059
0,1;620001;627500;1060
0,1;625001;632500;1061
0,1;630001;637500;1062
0,1;635001;642500;1063
0,1;640001;647500;1064
0,1;645001;652500;1065
0,1;650001;657500;1066
0,1;655001;662500;1067
